"Story","Title","Result","Date","Stability","Duration (s)"
"Testing DELETE comments JsonPlaceHolder","DELETE Comments with unregistered parameter id","FAILURE","2023-01-19T22:46:08.8907567+07:00[Asia/Bangkok]","0.0","2.64"
"Testing DELETE comments JsonPlaceHolder","DELETE Comments with invalid parameter id","FAILURE","2023-01-19T22:46:11.548144+07:00[Asia/Bangkok]","0.0","1.62"
"Testing GET comments JsonPlaceHolder","GET comments with valid parameter id","FAILURE","2023-01-19T22:46:13.1774041+07:00[Asia/Bangkok]","0.0","2.95"
"Testing GET comments JsonPlaceHolder","GET comments with invalid parameter id","FAILURE","2023-01-19T22:46:16.1384192+07:00[Asia/Bangkok]","0.0","1.55"
"Testing GET comments JsonPlaceHolder","GET comments with unregistered parameter id","FAILURE","2023-01-19T22:46:17.7008562+07:00[Asia/Bangkok]","0.0","1.57"
"Testing POST comments JsonPlaceHolder","POST comments with invalid json","FAILURE","2023-01-19T22:46:22.6593992+07:00[Asia/Bangkok]","0.0","0.83"
"Testing POST comments JsonPlaceHolder","POST comments with unrequired object at json","FAILURE","2023-01-19T22:46:23.4927137+07:00[Asia/Bangkok]","0.0","0.83"
"Testing POST comments JsonPlaceHolder","POST comments with valid parameter id","FAILURE","2023-01-19T22:46:24.3298178+07:00[Asia/Bangkok]","0.0","0.81"
"Testing POST comments JsonPlaceHolder","POST comments with blank json","FAILURE","2023-01-19T22:46:25.1449078+07:00[Asia/Bangkok]","0.0","0.79"
"Testing PUT comments JsonPlaceHolder","PUT comments with invalid json","FAILURE","2023-01-19T22:46:26.8218087+07:00[Asia/Bangkok]","0.0","0.82"
"Testing PUT comments JsonPlaceHolder","Put comments with unrequired object at json","FAILURE","2023-01-19T22:46:27.6434056+07:00[Asia/Bangkok]","0.0","0.82"
"Testing PUT comments JsonPlaceHolder","Put comments with invalid parameter id","FAILURE","2023-01-19T22:46:28.4685354+07:00[Asia/Bangkok]","0.0","0.81"
"Testing PUT comments JsonPlaceHolder","Put comments with blank json","FAILURE","2023-01-19T22:46:29.2820204+07:00[Asia/Bangkok]","0.0","0.8"
